fertility_per_woman	educationMale	educationFemale	lifeMale	lifeFemale	infantMortality	GDPperCapita	maleEmployed	femaleEmployed	illiteracyMale	illiteracyFemale
6.06	4	2.8	45.5	48.4	110	77	88.2	86.5	42.3	76.7
6.69	11	9.9	40.3	41.1	142	142	80.6	75.3	28.1	58.2
6.57	3.3	2	45.1	47	97	165	88.9	79.4	70.5	90.8
6.28	5.1	4	45.5	48.8	114	205	90.1	90.6	50.7	77.5
5.2	6.1	4	45.4	48.7	122	321	70.2	44.8	47.2	75.1
1.9	10.1	10.4	68.5	76.7	23	343	75	58	0.3	0.6
3.85	8.9	9.4	65.8	70.6	44	464	84.5	33.4	35.4	33.4
2.32	9.4	9.7	61.1	67.9	58	726	81.2	39.3	1.4	2.5
3.4	10.8	8.8	64.7	67.3	54	973	73.4	21.6	36.4	61.2
3.56	9	8.6	65.5	67.5	41	994	85.1	41.1	18.6	36.2
2.63	10.4	9.5	63.3	67	48	1019	84.8	51.3	10.4	22
3.62	11	11	66.6	70.2	35	1093	82.7	49	5	5.7
3.8	11.4	11.7	67.5	71.1	58	1106	77.3	40.2	1.848	1.656
4.46	11.5	10.8	57.7	62.3	65	1389	64.3	27.7	22	24.4
2.8	11.1	11.3	68.9	73.1	34	1508	82.6	42.9	18	17.8
1.45	11.8	12.5	67.8	74.9	16	1518	60.7	53.8	0.924	2.376
3.81	11.1	9.9	67.5	70.3	44	1531	76.4	7.8	26.1	51
1.4	11.5	11.4	66	73.2	24	1570	72.7	57.4	1.1	3.1
3.09	9.6	9.9	66.5	72.5	39	1660	79.8	40.6	26.5	30.2
1.4	11.1	11.7	62.5	74.3	16	1764	69.8	51.5	0.2	0.3
2.44	10.8	11.1	72.4	76.8	12	1779	74	62.4	19.2	10.9
4.17	9.2	9.1	67.5	72	39	1860	85.7	26.1	6.5	9.4
1.55	10.9	11.7	74.2	78	9	1983	72.6	41.2	3.8	4.7
1.3	12.2	12.9	63.9	75	12	2433	71.5	54.1	0.2	0.2
2.98	12.9	11.8	65.9	70.9	45	2497	51.2	33.9	5.5	17
3.66	10.6	10.4	73.4	76.1	30	2569	79	34	21.252	23.472
2.5	10.6	8.7	66.5	71.7	44	2814	75.9	30.6	8.3	27.6
1.65	13	13.3	66.7	75.7	13	3058	66.2	51	0.3	0.3
3.81	13	13.2	62.3	68.3	48	3230	79.6	50.4	18.1	18.3
2.98	10.2	10.7	70	75.7	21	3496	82.1	41.2	8.2	9.7
4.45	10.5	10.7	48.9	51.7	56	3640	75.4	41.7	19.5	40.1
1.6	11.5	11.7	68.1	76.5	10	4014	64.1	44	0.924	4.32
2.1	10.1	11.3	71.5	76.2	14	4083	75.5	44.9	1.2	3
1.4	12.3	12.6	64.5	73.8	14	4325	61.1	43.4	0.7	1
2.44	11.8	11.7	72.3	78.3	13	4736	75.5	34.5	4.6	5
5.9	9	8.4	69.9	73.4	23	6583	78.8	6.9	28.5	49.8
1.38	13.9	13.6	75.5	80.6	8	8684	64.7	36.1	1.7	4.7
2.1	13.7	13.1	74.6	79.1	8	8793	74.1	27.4	10.758	11.088
2.97	12.6	13.3	71.1	75.3	18	9073	88.2	29.2	10.9	20.6
1.65	15.1	13.9	68.8	76	9	9736	76.1	48.7	0.7	3.3
1.48	13.9	14.7	71.8	78.9	8	10428	67	49.2	7.5	13
5.25	9.4	7.1	60.9	63.9	95	11308	74	10.3	29.3	55
1.95	12.1	13.2	70.5	77.1	14	12545	81.2	67	1.5	2
3.77	10.6	11.6	70	75.4	17	14013	93	27.5	20.8	20.1
1.22	15.1	15.9	74.5	81.5	7	14111	63.1	37	1.8	3.9
2.77	8.9	9.1	74.1	78.2	14	15757	80.1	34.3	17.8	25.1
2.7	11.8	12.1	73.4	78.1	9	16683	82.2	46.4	7.4	16.6
3.46	9.8	10.3	73.9	76.5	15	17690	92.5	24.2	21.1	20.2
1.32	12.6	12.7	76.1	81.8	5	22898	76	47.8	4	11.8
1.96	15.4	16.2	73.4	80.1	7	26037	74.9	59.3	2.244	2.232
